close,y_pred,open_time
0.11614,1,2024-04-22 03:00:00+03:00
0.1176,1,2024-04-22 05:00:00+03:00
0.11959,1,2024-04-22 07:00:00+03:00
0.11712,0,2024-04-22 09:00:00+03:00
0.11752,1,2024-04-22 11:00:00+03:00
0.1173,0,2024-04-22 13:00:00+03:00
0.11798,1,2024-04-22 15:00:00+03:00
0.11761,1,2024-04-22 17:00:00+03:00
0.11772,1,2024-04-22 19:00:00+03:00
0.11763,0,2024-04-22 21:00:00+03:00
0.11773,0,2024-04-22 23:00:00+03:00
0.11851,1,2024-04-23 01:00:00+03:00
0.11853,1,2024-04-23 03:00:00+03:00
0.11666,0,2024-04-23 05:00:00+03:00
0.11693,0,2024-04-23 07:00:00+03:00
0.11544,0,2024-04-23 09:00:00+03:00
0.11611,1,2024-04-23 11:00:00+03:00
0.11625,0,2024-04-23 13:00:00+03:00
0.11776,1,2024-04-23 15:00:00+03:00
0.11684,1,2024-04-23 17:00:00+03:00
0.11734,0,2024-04-23 19:00:00+03:00
0.11707,0,2024-04-23 21:00:00+03:00
0.11766,0,2024-04-23 23:00:00+03:00
0.11718,1,2024-04-24 01:00:00+03:00
0.12047,1,2024-04-24 03:00:00+03:00
0.12315,0,2024-04-24 05:00:00+03:00
0.12764,1,2024-04-24 07:00:00+03:00
0.12666,0,2024-04-24 09:00:00+03:00
0.12485,1,2024-04-24 11:00:00+03:00
0.12402,1,2024-04-24 13:00:00+03:00
0.12139,0,2024-04-24 15:00:00+03:00
0.12167,0,2024-04-24 17:00:00+03:00
0.12142,1,2024-04-24 19:00:00+03:00
0.11976,0,2024-04-24 21:00:00+03:00
0.11934,0,2024-04-24 23:00:00+03:00
0.11729,0,2024-04-25 01:00:00+03:00
0.11826,1,2024-04-25 03:00:00+03:00
0.11751,0,2024-04-25 05:00:00+03:00
0.11807,1,2024-04-25 07:00:00+03:00
0.11591,0,2024-04-25 09:00:00+03:00
0.11585,1,2024-04-25 11:00:00+03:00
0.11508,0,2024-04-25 13:00:00+03:00
0.11512,1,2024-04-25 15:00:00+03:00
0.11861,1,2024-04-25 17:00:00+03:00
0.12235,0,2024-04-25 19:00:00+03:00
0.12098,0,2024-04-25 21:00:00+03:00
0.1201,1,2024-04-25 23:00:00+03:00
0.12001,0,2024-04-26 01:00:00+03:00
0.11723,0,2024-04-26 03:00:00+03:00
0.11787,0,2024-04-26 05:00:00+03:00
0.11895,1,2024-04-26 07:00:00+03:00
0.11766,0,2024-04-26 09:00:00+03:00
0.11696,1,2024-04-26 11:00:00+03:00
0.11626,0,2024-04-26 13:00:00+03:00
0.11846,1,2024-04-26 15:00:00+03:00
0.11717,0,2024-04-26 17:00:00+03:00
0.11805,1,2024-04-26 19:00:00+03:00
0.1183,0,2024-04-26 21:00:00+03:00
0.11821,0,2024-04-26 23:00:00+03:00
0.1166,0,2024-04-27 01:00:00+03:00
0.11375,0,2024-04-27 03:00:00+03:00
0.11432,1,2024-04-27 05:00:00+03:00
0.11363,1,2024-04-27 07:00:00+03:00
0.11273,1,2024-04-27 09:00:00+03:00
0.11296,1,2024-04-27 11:00:00+03:00
0.11223,0,2024-04-27 13:00:00+03:00
0.1131,1,2024-04-27 15:00:00+03:00
0.11178,0,2024-04-27 17:00:00+03:00
0.11451,1,2024-04-27 19:00:00+03:00
0.11392,0,2024-04-27 21:00:00+03:00
0.11331,1,2024-04-27 23:00:00+03:00
0.11296,0,2024-04-28 01:00:00+03:00
0.11434,1,2024-04-28 03:00:00+03:00
0.11526,0,2024-04-28 05:00:00+03:00
0.11497,0,2024-04-28 07:00:00+03:00
0.1149,1,2024-04-28 09:00:00+03:00
0.11358,0,2024-04-28 11:00:00+03:00
0.11268,0,2024-04-28 13:00:00+03:00
0.11318,1,2024-04-28 15:00:00+03:00
0.11293,0,2024-04-28 17:00:00+03:00
0.11361,1,2024-04-28 19:00:00+03:00
0.11345,0,2024-04-28 21:00:00+03:00
0.11381,1,2024-04-28 23:00:00+03:00
0.1113,0,2024-04-29 01:00:00+03:00
0.11362,1,2024-04-29 03:00:00+03:00
0.1121,0,2024-04-29 05:00:00+03:00
0.11325,1,2024-04-29 07:00:00+03:00
0.11132,0,2024-04-29 09:00:00+03:00
0.11046,1,2024-04-29 11:00:00+03:00
0.11076,0,2024-04-29 13:00:00+03:00
0.11062,0,2024-04-29 15:00:00+03:00
0.11283,1,2024-04-29 17:00:00+03:00
0.11281,0,2024-04-29 19:00:00+03:00
0.11268,1,2024-04-29 21:00:00+03:00
0.11122,0,2024-04-29 23:00:00+03:00
0.11303,1,2024-04-30 01:00:00+03:00
0.11234,0,2024-04-30 03:00:00+03:00
0.11409,0,2024-04-30 05:00:00+03:00
0.11432,0,2024-04-30 07:00:00+03:00
0.11642,0,2024-04-30 09:00:00+03:00
0.11236,0,2024-04-30 11:00:00+03:00
0.10799,0,2024-04-30 13:00:00+03:00
0.10575,1,2024-04-30 15:00:00+03:00
0.106,0,2024-04-30 17:00:00+03:00
0.10508,0,2024-04-30 19:00:00+03:00
0.10499,1,2024-04-30 21:00:00+03:00
0.10633,1,2024-04-30 23:00:00+03:00
0.10766,0,2024-05-01 01:00:00+03:00
0.11108,0,2024-05-01 03:00:00+03:00
0.11058,0,2024-05-01 05:00:00+03:00
0.1105,0,2024-05-01 07:00:00+03:00
0.10762,0,2024-05-01 09:00:00+03:00
0.10624,1,2024-05-01 11:00:00+03:00
0.10896,1,2024-05-01 13:00:00+03:00
0.11147,0,2024-05-01 15:00:00+03:00
0.11012,0,2024-05-01 17:00:00+03:00
0.11079,1,2024-05-01 19:00:00+03:00
0.1128,1,2024-05-01 21:00:00+03:00
0.11537,1,2024-05-01 23:00:00+03:00
0.11637,0,2024-05-02 01:00:00+03:00
0.11361,0,2024-05-02 03:00:00+03:00
0.11463,1,2024-05-02 05:00:00+03:00
0.11254,0,2024-05-02 07:00:00+03:00
0.11321,1,2024-05-02 09:00:00+03:00
0.11501,0,2024-05-02 11:00:00+03:00
0.11584,1,2024-05-02 13:00:00+03:00
0.1149,0,2024-05-02 15:00:00+03:00
0.11712,1,2024-05-02 17:00:00+03:00
0.11971,0,2024-05-02 19:00:00+03:00
0.11831,0,2024-05-02 21:00:00+03:00
0.1188,0,2024-05-02 23:00:00+03:00
0.11789,0,2024-05-03 01:00:00+03:00
0.11933,1,2024-05-03 03:00:00+03:00
0.1177,0,2024-05-03 05:00:00+03:00
0.11733,1,2024-05-03 07:00:00+03:00
0.1163,0,2024-05-03 09:00:00+03:00
0.11626,1,2024-05-03 11:00:00+03:00
0.11508,0,2024-05-03 13:00:00+03:00
0.1182,1,2024-05-03 15:00:00+03:00
0.11847,0,2024-05-03 17:00:00+03:00
0.11945,1,2024-05-03 19:00:00+03:00
0.11954,0,2024-05-03 21:00:00+03:00
0.12091,0,2024-05-03 23:00:00+03:00
0.12023,0,2024-05-04 01:00:00+03:00
0.11897,0,2024-05-04 03:00:00+03:00
0.11955,0,2024-05-04 05:00:00+03:00
0.11965,1,2024-05-04 07:00:00+03:00
0.1185,0,2024-05-04 09:00:00+03:00
0.11984,1,2024-05-04 11:00:00+03:00
0.11996,1,2024-05-04 13:00:00+03:00
0.11965,1,2024-05-04 15:00:00+03:00
0.12017,0,2024-05-04 17:00:00+03:00
0.11968,0,2024-05-04 19:00:00+03:00
0.12075,1,2024-05-04 21:00:00+03:00
0.11986,0,2024-05-04 23:00:00+03:00
0.11943,0,2024-05-05 01:00:00+03:00
0.11839,0,2024-05-05 03:00:00+03:00
0.11828,1,2024-05-05 05:00:00+03:00
0.11633,0,2024-05-05 07:00:00+03:00
0.11796,1,2024-05-05 09:00:00+03:00
0.11833,0,2024-05-05 11:00:00+03:00
0.11852,0,2024-05-05 13:00:00+03:00
0.11888,0,2024-05-05 15:00:00+03:00
0.12222,1,2024-05-05 17:00:00+03:00
0.12216,0,2024-05-05 19:00:00+03:00
0.12033,0,2024-05-05 21:00:00+03:00
0.12112,0,2024-05-05 23:00:00+03:00
0.12133,0,2024-05-06 01:00:00+03:00
0.12188,0,2024-05-06 03:00:00+03:00
0.12161,0,2024-05-06 05:00:00+03:00
0.12399,1,2024-05-06 07:00:00+03:00
0.12772,1,2024-05-06 09:00:00+03:00
0.12689,0,2024-05-06 11:00:00+03:00
0.12425,0,2024-05-06 13:00:00+03:00
0.12429,0,2024-05-06 15:00:00+03:00
0.12466,1,2024-05-06 17:00:00+03:00
0.1228,0,2024-05-06 19:00:00+03:00
0.12267,1,2024-05-06 21:00:00+03:00
0.12336,1,2024-05-06 23:00:00+03:00
0.12177,0,2024-05-07 01:00:00+03:00
0.12513,1,2024-05-07 03:00:00+03:00
0.12364,0,2024-05-07 05:00:00+03:00
0.12275,1,2024-05-07 07:00:00+03:00
0.12453,0,2024-05-07 09:00:00+03:00
0.1258,1,2024-05-07 11:00:00+03:00
0.12504,0,2024-05-07 13:00:00+03:00
0.12568,0,2024-05-07 15:00:00+03:00
0.12759,1,2024-05-07 17:00:00+03:00
0.12913,0,2024-05-07 19:00:00+03:00
0.12764,0,2024-05-07 21:00:00+03:00
0.12772,1,2024-05-07 23:00:00+03:00
0.12562,0,2024-05-08 01:00:00+03:00
0.12576,1,2024-05-08 03:00:00+03:00
0.12752,1,2024-05-08 05:00:00+03:00
0.12492,0,2024-05-08 07:00:00+03:00
0.12489,0,2024-05-08 09:00:00+03:00
0.1247,1,2024-05-08 11:00:00+03:00
0.12431,0,2024-05-08 13:00:00+03:00
0.12588,1,2024-05-08 15:00:00+03:00
0.12655,0,2024-05-08 17:00:00+03:00
0.12726,0,2024-05-08 19:00:00+03:00
0.12633,0,2024-05-08 21:00:00+03:00
0.12242,0,2024-05-08 23:00:00+03:00
0.12179,0,2024-05-09 01:00:00+03:00
0.12245,1,2024-05-09 03:00:00+03:00
0.12279,1,2024-05-09 05:00:00+03:00
0.12275,0,2024-05-09 07:00:00+03:00
0.12131,0,2024-05-09 09:00:00+03:00
0.12221,0,2024-05-09 11:00:00+03:00
0.12147,1,2024-05-09 13:00:00+03:00
0.12091,1,2024-05-09 15:00:00+03:00
0.12373,1,2024-05-09 17:00:00+03:00
0.12248,0,2024-05-09 19:00:00+03:00
0.12453,1,2024-05-09 21:00:00+03:00
0.12592,0,2024-05-09 23:00:00+03:00
0.12806,1,2024-05-10 01:00:00+03:00
