,index,open_time,close,y_pred,open,qty,balance,buy,sell,strategy_signal,portfolio_value
108,108,2024-04-19 19:00:00+03:00,0.10925,0,0.10877,9357.603963772603,0.0,,,0,1022.3182330421569
109,109,2024-04-19 21:00:00+03:00,0.10986,0,0.10926,9357.603963772603,0.0,,,0,1028.026371460058
110,110,2024-04-19 23:00:00+03:00,0.10961,0,0.10985,9357.603963772603,0.0,,,0,1025.686970469115
111,111,2024-04-20 01:00:00+03:00,0.10845,0,0.10962,9357.603963772603,0.0,,,0,1014.8321498711388
112,112,2024-04-20 03:00:00+03:00,0.10977,1,0.10845,9357.603963772603,0.0,,,1,1027.1841871033187
113,113,2024-04-20 05:00:00+03:00,0.11079,1,0.10975,9357.603963772603,0.0,,,1,1036.7289431463666
114,114,2024-04-20 07:00:00+03:00,0.11259,1,0.1108,9357.603963772603,0.0,,,1,1053.5726302811572
115,115,2024-04-20 09:00:00+03:00,0.11244,1,0.1126,0.0,1029.2149659654392,,2.0,1,1029.2149659654392
116,116,2024-04-20 11:00:00+03:00,0.1122,0,0.11243,0.0,1029.2149659654392,,,0,1029.2149659654392
117,117,2024-04-20 13:00:00+03:00,0.11237,0,0.11221,0.0,1029.2149659654392,,,0,1029.2149659654392
118,118,2024-04-20 15:00:00+03:00,0.11238,1,0.11238,9117.133819350373,0.0,-2.0,,1,1024.5834986185948
119,119,2024-04-20 17:00:00+03:00,0.11564,1,0.11239,9117.133819350373,0.0,,,1,1054.305354869677
120,120,2024-04-20 19:00:00+03:00,0.11768,0,0.11565,9117.133819350373,0.0,,,0,1072.904307861152
121,121,2024-04-20 21:00:00+03:00,0.11724,0,0.11768,9117.133819350373,0.0,,,0,1068.8927689806376
122,122,2024-04-20 23:00:00+03:00,0.11741,0,0.11723,9117.133819350373,0.0,,,0,1070.4426817299272
123,123,2024-04-21 01:00:00+03:00,0.11819,0,0.11741,9117.133819350373,0.0,,,0,1077.5540461090206
124,124,2024-04-21 03:00:00+03:00,0.11802,0,0.11818,9117.133819350373,0.0,,,0,1076.004133359731
125,125,2024-04-21 05:00:00+03:00,0.11742,0,0.11804,0.0,1075.8081735495246,,2.0,0,1075.8081735495246
126,126,2024-04-21 07:00:00+03:00,0.11813,0,0.11741,0.0,1075.8081735495246,,,0,1075.8081735495246
127,127,2024-04-21 09:00:00+03:00,0.11811,1,0.11812,9066.924912109516,0.0,-2.0,,1,1070.894501369255
128,128,2024-04-21 11:00:00+03:00,0.1171,1,0.11811,9066.924912109516,0.0,,,1,1061.7369072080244
129,129,2024-04-21 13:00:00+03:00,0.11697,1,0.1171,9066.924912109516,0.0,,,1,1060.55820696945
130,130,2024-04-21 15:00:00+03:00,0.11537,0,0.11697,9066.924912109516,0.0,,,0,1046.051127110075
131,131,2024-04-21 17:00:00+03:00,0.11641,1,0.11537,9066.924912109516,0.0,,,1,1055.4807290186689
132,132,2024-04-21 19:00:00+03:00,0.11529,0,0.11642,0.0,1049.5431960331807,,2.0,0,1049.5431960331807
133,133,2024-04-21 21:00:00+03:00,0.11558,0,0.1153,0.0,1049.5431960331807,,,0,1049.5431960331807
134,134,2024-04-21 23:00:00+03:00,0.11636,1,0.11559,9026.992774148392,0.0,-2.0,,1,1050.380879199907
135,135,2024-04-22 01:00:00+03:00,0.11601,1,0.11638,9026.992774148392,0.0,,,1,1047.221431728955
136,136,2024-04-22 03:00:00+03:00,0.11614,1,0.11602,9026.992774148392,0.0,,,1,1048.394940789594
137,137,2024-04-22 05:00:00+03:00,0.1176,1,0.11612,9026.992774148392,0.0,,,1,1061.574350239851
138,138,2024-04-22 07:00:00+03:00,0.11959,1,0.11759,9026.992774148392,0.0,,,1,1079.5380658604063
139,139,2024-04-22 09:00:00+03:00,0.11712,0,0.11958,9026.992774148392,0.0,,,0,1057.2413937082597
140,140,2024-04-22 11:00:00+03:00,0.11752,1,0.11712,9026.992774148392,0.0,,,1,1060.8521908179189
141,141,2024-04-22 13:00:00+03:00,0.1173,0,0.11753,9026.992774148392,0.0,,,0,1058.8662524076065
142,142,2024-04-22 15:00:00+03:00,0.11798,1,0.11732,9026.992774148392,0.0,,,1,1065.0046074940274
143,143,2024-04-22 17:00:00+03:00,0.11761,1,0.11797,9026.992774148392,0.0,,,1,1061.6646201675924
144,144,2024-04-22 19:00:00+03:00,0.11772,1,0.11762,9026.992774148392,0.0,,,1,1062.6575893727488
145,145,2024-04-22 21:00:00+03:00,0.11763,0,0.11771,9026.992774148392,0.0,,,0,1061.8451600230753
146,146,2024-04-22 23:00:00+03:00,0.11773,0,0.11764,9026.992774148392,0.0,,,0,1062.74785930049
147,147,2024-04-23 01:00:00+03:00,0.11851,1,0.11773,9026.992774148392,0.0,,,1,1069.788913664326
148,148,2024-04-23 03:00:00+03:00,0.11853,1,0.1185,9026.992774148392,0.0,,,1,1069.969453519809
149,149,2024-04-23 05:00:00+03:00,0.11666,0,0.11853,9026.992774148392,0.0,,,0,1053.0889770321514
150,150,2024-04-23 07:00:00+03:00,0.11693,0,0.11665,9026.992774148392,0.0,,,0,1055.5262650811715
151,151,2024-04-23 09:00:00+03:00,0.11544,0,0.11694,9026.992774148392,0.0,,,0,1042.0760458476902
152,152,2024-04-23 11:00:00+03:00,0.11611,1,0.11545,9026.992774148392,0.0,,,1,1048.12413100637
153,153,2024-04-23 13:00:00+03:00,0.11625,0,0.11611,9026.992774148392,0.0,,,0,1049.3879099947505
154,154,2024-04-23 15:00:00+03:00,0.11776,1,0.11624,9026.992774148392,0.0,,,1,1063.0186690837147
155,155,2024-04-23 17:00:00+03:00,0.11684,1,0.1178,9026.992774148392,0.0,,,1,1054.713835731498
156,156,2024-04-23 19:00:00+03:00,0.11734,0,0.11681,9026.992774148392,0.0,,,0,1059.2273321185723
157,157,2024-04-23 21:00:00+03:00,0.11707,0,0.11735,9026.992774148392,0.0,,,0,1056.790044069552
158,158,2024-04-23 23:00:00+03:00,0.11766,0,0.11707,9026.992774148392,0.0,,,0,1062.1159698062997
159,159,2024-04-24 01:00:00+03:00,0.11718,1,0.11766,9026.992774148392,0.0,,,1,1057.7830132747085
160,160,2024-04-24 03:00:00+03:00,0.12047,1,0.11718,9026.992774148392,0.0,,,1,1087.4818195016567
161,161,2024-04-24 05:00:00+03:00,0.12315,0,0.12048,9026.992774148392,0.0,,,0,1111.6741601363744
162,162,2024-04-24 07:00:00+03:00,0.12764,1,0.12315,9026.992774148392,0.0,,,1,1152.2053576923008
163,163,2024-04-24 09:00:00+03:00,0.12666,0,0.12764,0.0,1097.056764233583,,2.0,0,1097.056764233583
164,164,2024-04-24 11:00:00+03:00,0.12485,1,0.12666,8647.167879099685,0.0,-2.0,,1,1079.5989097055956
165,165,2024-04-24 13:00:00+03:00,0.12402,1,0.12484,8647.167879099685,0.0,,,1,1072.4217603659429
166,166,2024-04-24 15:00:00+03:00,0.12139,0,0.124,8647.167879099685,0.0,,,0,1049.6797088439107
167,167,2024-04-24 17:00:00+03:00,0.12167,0,0.1214,8647.167879099685,0.0,,,0,1052.1009158500588
168,168,2024-04-24 19:00:00+03:00,0.12142,1,0.12165,0.0,1070.2731086186411,,2.0,1,1070.2731086186411
169,169,2024-04-24 21:00:00+03:00,0.11976,0,0.12142,0.0,1070.2731086186411,,,0,1070.2731086186411
170,170,2024-04-24 23:00:00+03:00,0.11934,0,0.11976,0.0,1070.2731086186411,,,0,1070.2731086186411
171,171,2024-04-25 01:00:00+03:00,0.11729,0,0.11933,0.0,1070.2731086186411,,,0,1070.2731086186411
172,172,2024-04-25 03:00:00+03:00,0.11826,1,0.11729,9068.953045775232,0.0,-2.0,,1,1072.494387193379
173,173,2024-04-25 05:00:00+03:00,0.11751,0,0.11826,9068.953045775232,0.0,,,0,1065.6926724090474
174,174,2024-04-25 07:00:00+03:00,0.11807,1,0.11751,9068.953045775232,0.0,,,1,1070.7712861146815
175,175,2024-04-25 09:00:00+03:00,0.11591,0,0.11806,9068.953045775232,0.0,,,0,1051.1823475358071
176,176,2024-04-25 11:00:00+03:00,0.11585,1,0.11591,9068.953045775232,0.0,,,1,1050.6382103530605
177,177,2024-04-25 13:00:00+03:00,0.11508,0,0.11585,9068.953045775232,0.0,,,0,1043.6551165078138
178,178,2024-04-25 15:00:00+03:00,0.11512,1,0.11507,9068.953045775232,0.0,,,1,1044.0178746296447
179,179,2024-04-25 17:00:00+03:00,0.11861,1,0.11514,0.0,1044.14324203726,,2.0,1,1044.14324203726
180,180,2024-04-25 19:00:00+03:00,0.12235,0,0.1186,0.0,1044.14324203726,,,0,1044.14324203726
181,181,2024-04-25 21:00:00+03:00,0.12098,0,0.12236,0.0,1044.14324203726,,,0,1044.14324203726
182,182,2024-04-25 23:00:00+03:00,0.1201,1,0.12097,8604.958752343558,0.0,-2.0,,1,1033.4555461564614
183,183,2024-04-26 01:00:00+03:00,0.12001,0,0.12011,8604.958752343558,0.0,,,0,1032.6810998687506
184,184,2024-04-26 03:00:00+03:00,0.11723,0,0.12,8604.958752343558,0.0,,,0,1008.7593145372354
185,185,2024-04-26 05:00:00+03:00,0.11787,0,0.11721,8604.958752343558,0.0,,,0,1014.2664881387352
186,186,2024-04-26 07:00:00+03:00,0.11895,1,0.11788,0.0,1018.6512054991306,,2.0,1,1018.6512054991306
187,187,2024-04-26 09:00:00+03:00,0.11766,0,0.11895,0.0,1018.6512054991306,,,0,1018.6512054991306
188,188,2024-04-26 11:00:00+03:00,0.11696,1,0.11767,8628.303681457905,0.0,-2.0,,1,1009.1663985833164
189,189,2024-04-26 13:00:00+03:00,0.11626,0,0.11697,8628.303681457905,0.0,,,0,1003.126586006296
190,190,2024-04-26 15:00:00+03:00,0.11846,1,0.11625,8628.303681457905,0.0,,,1,1022.1088541055034
